id,age,sex,profession,zip-code
432,22,M,entertainment,50311
915,50,M,entertainment,60614
92,32,M,entertainment,80525
839,38,F,entertainment,90814
331,33,M,entertainment,91344
422,26,M,entertainment,94533
186,39,F,executive,0
298,44,M,executive,1581
769,39,M,executive,6927
559,69,M,executive,10022
835,44,F,executive,11577
862,25,M,executive,13820
181,26,M,executive,21218
546,36,M,executive,22911
93,48,M,executive,23112
335,45,M,executive,33775
724,31,M,executive,40243
871,31,M,executive,44648
653,31,M,executive,55105
213,33,M,executive,55345
84,32,M,executive,55369
227,46,M,executive,60659
54,22,M,executive,66315
374,36,M,executive,78746
265,26,M,executive,84601
775,46,M,executive,90036
100,36,M,executive,90254
98,49,F,executive,90291
284,40,M,executive,92629
474,51,M,executive,93711
728,58,M,executive,94306
723,26,M,executive,94403
113,47,M,executive,95032
250,29,M,executive,95110
6,42,M,executive,98101
357,26,M,executive,98133
576,48,M,executive,98281
607,49,F,healthcare,2154
60,50,M,healthcare,6472
405,22,F,healthcare,10019
520,62,M,healthcare,12603
687,31,F,healthcare,27713
910,28,M,healthcare,29301
170,53,F,healthcare,30067
630,26,F,healthcare,55408
655,50,F,healthcare,60657
463,48,F,healthcare,75218
164,47,M,healthcare,80123
401,46,F,healthcare,84107
693,43,F,healthcare,85210
735,29,F,healthcare,85719
807,41,F,healthcare,93555
116,40,M,healthcare,97232
722,50,F,homemaker,17331
35,20,F,homemaker,42459
898,23,M,homemaker,61755
362,35,F,homemaker,85233
356,32,F,homemaker,92688
20,42,F,homemaker,95660
708,26,F,homemaker,96349
205,47,M,lawyer,6371
365,29,M,lawyer,20009
126,28,F,lawyer,20015
125,30,M,lawyer,22202
339,35,M,lawyer,37901
419,37,M,lawyer,43215
846,27,M,lawyer,47130
444,51,F,lawyer,53202
161,50,M,lawyer,55104
589,21,M,lawyer,90034
680,33,M,lawyer,90405
10,53,M,lawyer,90703
231,48,M,librarian,1080
667,35,M,librarian,1970
19,40,M,librarian,2138
147,40,F,librarian,2143
533,43,M,librarian,2324
855,53,M,librarian,4988
516,53,F,librarian,10021
204,52,F,librarian,10960
214,26,F,librarian,11231
88,49,F,librarian,11701
639,42,F,librarian,12065
527,33,M,librarian,12180
662,55,M,librarian,19102
707,56,F,librarian,19146
43,29,F,librarian,20854
229,29,F,librarian,22903
253,26,F,librarian,22903
280,30,F,librarian,22903
683,42,M,librarian,23509
818,28,M,librarian,27514
334,32,M,librarian,30002
27,40,F,librarian,30030
278,37,F,librarian,30033
895,31,F,librarian,32301
563,39,F,librarian,32707
269,31,F,librarian,43201
843,35,M,librarian,44212
56,25,M,librarian,46260
354,29,F,librarian,48197
883,49,M,librarian,50266
776,30,M,librarian,51157
822,29,F,librarian,53144
449,23,M,librarian,55021
685,32,F,librarian,55409
701,51,F,librarian,56321
338,39,F,librarian,59717
754,59,F,librarian,62901
908,44,F,librarian,68504
906,45,M,librarian,70124
184,37,M,librarian,76013
611,46,M,librarian,77008
220,30,M,librarian,78205
942,48,F,librarian,78209
828,28,M,librarian,85282
704,51,F,librarian,91105
591,57,F,librarian,92093
344,30,F,librarian,94117
345,28,F,librarian,94143
185,53,F,librarian,97403
585,69,M,librarian,98501
121,54,M,librarian,99603
91,55,M,marketing,1913
129,36,F,marketing,7039
47,53,M,marketing,7102
806,27,M,marketing,11217
149,35,F,marketing,17325
508,27,M,marketing,19382
128,24,F,marketing,20009
172,55,M,marketing,22207
288,34,M,marketing,23226
613,37,F,marketing,29678
809,50,F,marketing,30803
881,39,M,marketing,43017
598,40,F,marketing,43085
575,33,M,marketing,46032
46,27,F,marketing,46538
744,35,M,marketing,47024
515,53,M,marketing,49508
424,36,F,marketing,55422
313,41,M,marketing,60035
63,31,M,marketing,75240
783,30,M,marketing,77081
207,39,M,marketing,92037
431,24,M,marketing,92629
526,30,M,marketing,97124
681,44,F,marketing,97208
856,43,F,marketing,97215
418,55,F,none,21206
256,35,F,none,39042
130,20,M,none,60115
127,33,M,none,73439
657,26,F,none,78704
57,16,M,none,84010
756,30,F,none,90247
628,13,M,none,94306
289,11,M,none,94619
312,48,M,other,2110
465,32,M,other,5001
120,47,F,other,6260
12,28,F,other,6405
859,18,F,other,6492
912,51,M,other,6512
403,37,M,other,6811
713,42,F,other,7204
914,44,F,other,8105
608,22,M,other,10003
376,28,F,other,10010
273,50,F,other,10016
478,29,M,other,10019
766,42,M,other,10960
155,32,F,other,11217
217,22,M,other,11727
924,29,M,other,11753
814,30,M,other,12345
760,35,F,other,14211
587,26,M,other,14216
919,25,M,other,14216
824,31,M,other,15017
5,33,F,other,15213
663,26,M,other,19341
437,27,F,other,20009
669,37,M,other,20009
805,27,F,other,20009
512,29,M,other,20090
505,27,F,other,20657
816,34,M,other,20755
876,41,M,other,20902
173,56,M,other,22306
652,35,M,other,22911
635,22,M,other,23237
815,32,M,other,28806
675,34,M,other,28814
544,44,F,other,29464
851,18,M,other,29646
11,39,F,other,30329
905,27,M,other,30350
936,24,M,other,32789
897,30,M,other,33484
831,21,M,other,33765
602,47,F,other,34656
388,31,M,other,36106
18,35,F,other,37212
395,43,M,other,44092
83,40,M,other,44133
629,46,F,other,44224
489,55,M,other,45218
892,36,M,other,45243
689,25,M,other,45439
440,30,M,other,48076
417,27,F,other,48103
142,13,M,other,48118
178,26,M,other,49512
169,52,F,other,53705
165,20,F,other,53715
38,28,F,other,54467
373,24,F,other,55116
899,32,M,other,55116
519,22,M,other,55320
789,29,M,other,55420
109,29,M,other,55423
398,40,M,other,60008
866,45,M,other,60302
460,44,F,other,60630
733,44,F,other,60630
797,44,F,other,62522
734,25,F,other,63108
834,26,M,other,64153
552,45,M,other,68147
306,45,M,other,73132
637,30,M,other,74101
346,34,M,other,76059
316,43,F,other,77009
697,25,M,other,77042
877,30,M,other,77504
168,48,M,other,80127
810,55,F,other,80526
907,25,F,other,80526
749,33,M,other,80919
597,23,M,other,84116
702,37,M,other,89104
751,24,F,other,90034
423,64,M,other,91606
399,25,M,other,92374
747,19,M,other,93612
2,53,F,other,94043
581,37,M,other,94131
132,24,M,other,94612
696,55,M,other,94920
885,30,F,other,95316
699,44,M,other,96754
454,57,M,other,97330
136,51,M,other,97365
342,25,F,other,98006
360,51,M,other,98027
510,34,M,other,98038
732,28,F,other,98405
677,20,M,other,99835
55,37,M,programmer,1331
777,63,M,programmer,1810
600,34,M,programmer,2320
506,46,M,programmer,3869
17,30,M,programmer,6355
694,60,M,programmer,6365
698,28,F,programmer,6906
795,30,M,programmer,8610
470,24,M,programmer,10021
792,40,M,programmer,12205
622,25,M,programmer,14850
177,20,M,programmer,19104
514,27,M,programmer,20707
625,27,M,programmer,20723
144,53,M,programmer,20910
319,38,M,programmer,22030
82,50,M,programmer,22902
222,29,M,programmer,27502
102,38,M,programmer,30220
595,25,M,programmer,31909
676,30,M,programmer,32712
182,36,M,programmer,33884
141,49,M,programmer,36117
414,24,M,programmer,38115
219,32,M,programmer,43212
384,52,M,programmer,45218
603,21,M,programmer,47905
45,29,M,programmer,50233
58,27,M,programmer,52246
830,46,M,programmer,53066
645,27,M,programmer,53211
285,25,M,programmer,53713
352,37,F,programmer,55105
421,38,F,programmer,55105
300,26,F,programmer,55106
404,29,F,programmer,55108
682,23,M,programmer,55128
868,21,M,programmer,55303
283,28,M,programmer,55305
800,25,M,programmer,55337
263,41,M,programmer,55346
53,26,M,programmer,55414
551,25,M,programmer,55414
633,35,M,programmer,55414
927,23,M,programmer,55428
864,27,M,programmer,63021
215,35,M,programmer,63033
606,28,M,programmer,63044
160,27,M,programmer,66215
119,32,M,programmer,67401
499,42,M,programmer,75006
114,27,M,programmer,75013
475,30,M,programmer,75230
134,31,M,programmer,80236
279,33,M,programmer,85251
671,21,M,programmer,91919
658,33,M,programmer,92626
743,31,M,programmer,92660
200,40,M,programmer,93402
29,41,M,programmer,94043
305,23,M,programmer,94086
780,49,M,programmer,94560
292,35,F,programmer,94703
737,30,M,programmer,98072
379,44,M,programmer,98117
661,28,M,programmer,98121
651,65,M,retired,2903
318,65,M,retired,6518
900,60,M,retired,18505
752,60,M,retired,21201
481,73,M,retired,37771
860,70,F,retired,48322
573,68,M,retired,48911
106,61,M,retired,55125
349,68,M,retired,61455
644,51,M,retired,63645
564,65,M,retired,94591
234,60,M,retired,94702
308,60,M,retired,95076
480,57,M,retired,98257
457,33,F,salesman,30011
287,21,M,salesman,31211
211,66,M,salesman,32605
443,35,M,salesman,33308
336,23,M,salesman,42101
386,36,M,salesman,43221
925,18,F,salesman,49036
112,30,M,salesman,60613
690,35,M,salesman,63304
808,45,M,salesman,90016
753,56,M,salesman,91206
531,30,F,salesman,97408
763,27,M,scientist,2113
176,28,M,scientist,7030
930,28,F,scientist,7310
337,37,M,scientist,10522
888,41,M,scientist,17036
626,23,M,scientist,19807
538,31,M,scientist,21010
175,26,F,scientist,21911
40,38,M,scientist,27514
183,33,M,scientist,27708
353,25,M,scientist,28480
730,31,F,scientist,32114
874,36,M,scientist,37076
483,29,M,scientist,43212
549,42,M,scientist,45680
616,55,M,scientist,50613
272,33,M,scientist,53706
929,44,M,scientist,53711
14,45,M,scientist,55106
643,39,M,scientist,55122
107,39,M,scientist,60466
554,32,M,scientist,62901
918,40,M,scientist,70116
309,40,M,scientist,70802
867,24,M,scientist,92507
195,42,M,scientist,93555
543,33,M,scientist,95123
71,39,M,scientist,98034
430,38,M,scientist,98199
232,45,M,scientist,99709
9,29,M,student,1002
838,23,M,student,1375
778,34,M,student,1960
477,23,F,student,2125
813,14,F,student,2136
521,19,M,student,2146
324,21,F,student,2176
76,20,M,student,2215
378,35,M,student,2859
462,19,F,student,2918
101,15,M,student,5146
534,20,M,student,5464
281,15,F,student,6059
453,18,M,student,6333
314,20,F,student,8043
139,20,M,student,8904
560,32,M,student,10003
501,22,M,student,10025
869,30,M,student,10025
327,22,M,student,11101
861,38,F,student,14085
770,28,M,student,14216
230,28,F,student,14476
566,20,M,student,14627
303,19,M,student,14853
711,22,F,student,15203
286,27,M,student,15217
771,26,M,student,15232
117,20,M,student,16125
580,16,M,student,17961
377,22,M,student,18015
323,21,M,student,19149
241,26,F,student,20001
917,22,F,student,20006
221,19,M,student,20685
484,27,M,student,21208
81,21,M,student,21218
610,22,M,student,21227
511,22,M,student,21250
228,21,F,student,22003
68,19,M,student,22904
502,22,M,student,23092
320,19,M,student,24060
849,15,F,student,25652
887,14,F,student,27249
33,23,M,student,27510
584,25,M,student,27511
397,17,M,student,27514
246,19,M,student,28734
459,22,M,student,29201
429,27,M,student,29205
742,35,M,student,29210
188,42,M,student,29440
624,19,M,student,30067
140,30,F,student,32250
203,25,F,student,32301
765,31,M,student,33066
939,26,F,student,33319
875,24,F,student,35802
248,25,M,student,37235
367,17,M,student,37411
820,22,M,student,37725
135,23,M,student,38401
631,18,F,student,38866
649,20,M,student,39762
482,18,F,student,40256
332,20,M,student,40504
73,24,M,student,41850
361,22,M,student,44074
291,19,M,student,44106
619,17,M,student,44134
618,15,F,student,44212
341,17,F,student,44405
348,24,F,student,45660
223,19,F,student,47906
933,28,M,student,48105
451,16,M,student,48446
259,21,M,student,48823
781,20,M,student,48825
434,16,F,student,49705
193,29,M,student,49931
497,20,M,student,50112
322,20,M,student,50613
366,20,F,student,50670
646,17,F,student,51250
206,14,F,student,53115
154,25,M,student,53703
758,27,M,student,53706
679,20,F,student,54302
705,21,F,student,54494
712,22,F,student,54901
528,18,M,student,55104
757,26,M,student,55104
37,23,M,student,55105
52,18,F,student,55105
609,13,F,student,55106
103,26,M,student,55108
104,27,M,student,55108
245,22,M,student,55109
674,13,F,student,55337
159,23,F,student,55346
854,29,F,student,55408
928,21,M,student,55408
198,21,F,student,55414
274,20,F,student,55414
428,28,M,student,55414
496,21,F,student,55414
684,28,M,student,55414
773,20,M,student,55414
847,29,M,student,55417
565,40,M,student,55422
30,7,M,student,55436
301,24,M,student,55439
307,25,M,student,55454
517,24,M,student,55454
632,18,M,student,55454
706,23,M,student,55454
729,19,M,student,56567
425,19,M,student,58644
863,17,M,student,60089
355,25,M,student,60135
817,19,M,student,60152
67,17,M,student,60402
621,17,M,student,60402
476,28,M,student,60440
542,21,M,student,60515
124,34,M,student,60615
641,24,M,student,60626
153,25,M,student,60641
904,17,F,student,61073
408,23,M,student,61755
359,22,M,student,61801
640,20,M,student,61801
886,20,M,student,61820
270,18,F,student,63119
99,20,M,student,63129
870,22,M,student,65203
372,25,F,student,66046
759,20,F,student,68503
94,26,M,student,71457
304,22,F,student,71701
872,19,F,student,74078
49,23,F,student,76111
913,27,M,student,76201
700,17,M,student,76309
257,17,M,student,77005
660,26,M,student,77380
471,10,M,student,77459
258,19,F,student,77801
110,19,M,student,77840
943,22,M,student,77841
577,36,F,student,77845
262,19,F,student,78264
654,27,F,student,78739
32,28,F,student,78741
727,25,M,student,78741
586,20,M,student,79508
774,30,M,student,80027
66,23,M,student,80521
393,19,M,student,83686
880,13,M,student,83702
249,25,M,student,84103
541,19,F,student,84302
391,23,M,student,84604
793,22,M,student,85281
442,22,M,student,85282
363,20,M,student,87501
472,24,M,student,87544
347,18,M,student,90210
466,22,M,student,90804
369,24,M,student,91335
725,21,M,student,91711
710,19,M,student,92020
226,28,M,student,92103
368,18,M,student,92113
416,20,F,student,92626
532,20,M,student,92705
582,17,M,student,93003
588,18,F,student,93063
36,19,F,student,93117
473,29,M,student,94708
276,21,M,student,95064
550,16,F,student,95453
642,18,F,student,95521
893,25,M,student,95823
941,20,M,student,97229
350,32,M,student,97301
890,32,M,student,97301
761,17,M,student,97302
592,18,M,student,97520
461,15,M,student,98102
787,18,F,student,98620
921,20,F,student,98801
325,48,M,technician,2139
545,27,M,technician,8052
143,42,M,technician,8832
488,48,M,technician,21012
670,30,M,technician,21114
77,30,M,technician,29379
456,24,M,technician,31820
4,24,M,technician,43537
44,26,M,technician,46260
441,50,M,technician,55013
938,38,F,technician,55038
718,42,M,technician,64118
311,32,M,technician,73071
739,35,M,technician,73162
197,55,M,technician,75094
812,22,M,technician,76234
832,24,M,technician,77042
850,34,M,technician,78390
889,24,M,technician,78704
244,28,M,technician,80525
790,27,M,technician,80913
717,24,M,technician,84105
1,24,M,technician,85711
715,21,M,technician,91206
294,34,M,technician,92110
738,35,M,technician,95403
370,52,M,writer,8534
385,36,M,writer,10003
668,29,F,writer,10016
617,27,F,writer,11201
557,30,F,writer,11217
199,30,M,writer,17604
122,32,F,writer,22206
772,50,M,writer,27105
503,50,F,writer,27514
507,18,F,writer,28450
21,26,M,writer,30068
3,23,M,writer,32067
796,32,F,writer,33755
695,26,M,writer,38115
22,25,M,writer,40206
853,49,M,writer,40515
50,21,M,writer,52245
911,37,F,writer,53210
236,44,F,writer,53214
491,43,F,writer,53711
196,49,M,writer,55105
745,42,M,writer,55113
28,32,M,writer,55369
498,26,M,writer,55408
392,52,M,writer,59801
293,24,M,writer,60804
741,25,M,writer,63108
558,56,F,writer,63132
798,40,F,writer,64131
829,48,M,writer,80209
620,18,F,writer,81648
389,44,F,writer,83702
390,42,F,writer,85016
833,34,M,writer,90019
264,36,F,writer,90064
896,28,M,writer,91505
504,40,F,writer,92115
801,22,M,writer,92154
445,21,M,writer,92653
842,40,M,writer,93055
464,60,M,writer,94583
736,48,F,writer,94618
548,51,M,writer,95468
518,49,F,writer,99709
